Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",142.231000,-84.836000,0.000000,top
"D2","LED","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",142.231000,-77.978000,180.000000,top
"D3","LED","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.359000,-78.232000,180.000000,top
"D4","LED","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.359000,-84.836000,180.000000,top
"D5","â€ŽBZX84C5V1LT3G","D_SOT-23_ANK",168.478200,-79.146400,270.000000,top
"D6","BZX84C5V1LT3G","D_SOT-23_ANK",171.348400,-89.535000,270.000000,top
"Q1","BSS138","SOT-23",125.619000,-78.638400,0.000000,top
"Q2","BSS138","SOT-23",125.958600,-85.826600,0.000000,top
"Q3","BSS138","SOT-23",164.693600,-79.206600,90.000000,top
"Q4","BSS138","SOT-23",167.640000,-89.585800,90.000000,top
"R1","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.110000,-77.715000,270.000000,top
"R2","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.387800,-81.153000,0.000000,top
"R3","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.920000,-77.470000,270.000000,top
"R4","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.350000,-73.152000,0.000000,top
"R5","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.355000,-83.820000,180.000000,top
"R6","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.317200,-72.720200,180.000000,top
"R7","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.572000,-82.296000,0.000000,top
"R8","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",142.231000,-89.916000,0.000000,top
"R9","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.842200,-92.532200,0.000000,top
"R10","5K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.377000,-89.865200,180.000000,top
"R11","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.375600,-81.178400,180.000000,top
"R12","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",163.753800,-92.506800,180.000000,top
"R13","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.719000,-82.042000,180.000000,top
"R14","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.526200,-79.171800,90.000000,top
"R15","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.792400,-92.633800,180.000000,top
"R16","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",174.320200,-89.509600,270.000000,top
"R17","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.674800,-74.625200,0.000000,top
"R18","5k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.323000,-86.563200,0.000000,top
"U1","BTS4175SGA","Infineon_PG-DSO-8-27_3.9x4.9mm_EP2.65x3mm",158.572200,-77.139800,180.000000,top
"U2","BTS4175SGA","Infineon_PG-DSO-8-27_3.9x4.9mm_EP2.65x3mm",162.026600,-88.620600,180.000000,top
